Time,Pressure
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,1.69557e-43
0.014,1.6157e-42
0.015,1.08082e-41
0.016,5.87775e-41
0.017,2.74834e-40
0.018,1.13936e-39
0.019,4.27342e-39
0.02,1.47184e-38
0.021,4.70848e-38
0.022,1.41183e-37
0.023,3.99737e-37
0.024,1.07524e-36
0.025,2.76187e-36
0.026,6.80377e-36
0.027,1.61348e-35
0.028,3.69525e-35
0.029,8.19614e-35
0.03,1.76495e-34
0.031,3.69792e-34
0.032,7.55313e-34
0.033,1.50658e-33
0.034,2.93916e-33
0.035,5.61606e-33
0.036,1.05236e-32
0.037,1.93607e-32
0.038,3.5007e-32
0.039,6.22705e-32
0.04,1.09064e-31
0.041,1.88237e-31
0.042,3.20386e-31
0.043,5.38126e-31
0.044,8.92507e-31
0.045,1.46255e-30
0.046,2.36931e-30
0.047,3.79633e-30
0.048,6.01924e-30
0.049,9.44818e-30
0.05,1.46881e-29
0.051,2.26234e-29
0.052,3.45373e-29
0.053,5.2276e-29
0.054,7.84769e-29
0.055,1.16879e-28
0.056,1.72749e-28
0.057,2.5345e-28
0.058,3.69214e-28
0.059,5.3417e-28
0.06,7.67707e-28
0.061,1.09628e-27
0.062,1.55577e-27
0.063,2.19458e-27
0.064,3.07769e-27
0.065,4.29181e-27
0.066,5.95211e-27
0.067,8.21084e-27
0.068,1.12682e-26
0.069,1.53866e-26
0.07,2.09076e-26
0.071,2.82749e-26
0.072,3.80618e-26
0.073,5.1006e-26
0.074,6.80533e-26
0.075,9.0411e-26
0.076,1.19615e-25
0.077,1.5761e-25
0.078,2.06853e-25
0.079,2.70434e-25
0.08,3.52226e-25
0.081,4.57068e-25
0.082,5.90983e-25
0.083,7.61449e-25
0.084,9.77715e-25
0.085,1.25118e-24
0.086,1.59588e-24
0.087,2.02899e-24
0.088,2.57151e-24
0.089,3.24905e-24
0.09,4.09269e-24
0.091,5.14012e-24
0.092,6.43686e-24
0.093,8.03781e-24
0.094,1.00089e-23
0.095,1.24292e-23
0.096,1.53933e-23
0.097,1.9014e-23
0.098,2.34254e-23
0.099,2.87868e-23
0.1,3.52869e-23
0.101,4.31483e-23
0.102,5.26336e-23
0.103,6.40515e-23
0.104,7.77643e-23
0.105,9.41957e-23
0.106,1.13841e-22
0.107,1.37277e-22
0.108,1.65175e-22
0.109,1.98313e-22
0.11,2.37592e-22
0.111,2.84056e-22
0.112,3.38904e-22
0.113,4.03519e-22
0.114,4.79489e-22
0.115,5.68634e-22
0.116,6.73034e-22
0.117,7.95065e-22
0.118,9.37434e-22
0.119,1.10322e-21
0.12,1.29592e-21
0.121,1.51948e-21
0.122,1.77838e-21
0.123,2.07766e-21
0.124,2.42302e-21
0.125,2.82083e-21
0.126,3.27827e-21
0.127,3.80336e-21
0.128,4.40507e-21
0.129,5.09341e-21
0.13,5.87951e-21
0.131,6.77576e-21
0.132,7.79589e-21
0.133,8.95509e-21
0.134,1.02702e-20
0.135,1.17596e-20
0.136,1.34438e-20
0.137,1.53452e-20
0.138,1.74882e-20
0.139,1.98997e-20
0.14,2.2609e-20
0.141,2.5648e-20
0.142,2.90515e-20
0.143,3.28569e-20
0.144,3.71051e-20
0.145,4.184e-20
0.146,4.7109e-20
0.147,5.29631e-20
0.148,5.94567e-20
0.149,6.66483e-20
0.15,7.46001e-20
0.151,8.33784e-20
0.152,9.30533e-20
0.153,1.03699e-19
0.154,1.15394e-19
0.155,1.28221e-19
0.156,1.42265e-19
0.157,1.57616e-19
0.158,1.74368e-19
0.159,1.92617e-19
0.16,2.12462e-19
0.161,2.34004e-19
0.162,2.57346e-19
0.163,2.82594e-19
0.164,3.09851e-19
0.165,3.39221e-19
0.166,3.70807e-19
0.167,4.04707e-19
0.168,4.41018e-19
0.169,4.79827e-19
0.17,5.21217e-19
0.171,5.65259e-19
0.172,6.12013e-19
0.173,6.61525e-19
0.174,7.13825e-19
0.175,7.6892e-19
0.176,8.26798e-19
0.177,8.87417e-19
0.178,9.50708e-19
0.179,1.01657e-18
0.18,1.08484e-18
0.181,1.15536e-18
0.182,1.22787e-18
0.183,1.30209e-18
0.184,1.37767e-18
0.185,1.45419e-18
0.186,1.53116e-18
0.187,1.60803e-18
0.188,1.68413e-18
0.189,1.75871e-18
0.19,1.83094e-18
0.191,1.89986e-18
0.192,1.96439e-18
0.193,2.02334e-18
0.194,2.07537e-18
0.195,2.11902e-18
0.196,2.15266e-18
0.197,2.17451e-18
0.198,2.18264e-18
0.199,2.1749e-18
0.2,2.14902e-18
0.201,2.10249e-18
0.202,2.03262e-18
0.203,1.93654e-18
0.204,1.81115e-18
0.205,1.65314e-18
0.206,1.45901e-18
0.207,1.22503e-18
0.208,9.47253e-19
0.209,6.2154e-19
0.21,2.43535e-19
0.211,-1.91313e-19
0.212,-6.87743e-19
0.213,-1.25067e-18
0.214,-1.88516e-18
0.215,-2.59644e-18
0.216,-3.38982e-18
0.217,-4.27072e-18
0.218,-5.2446e-18
0.219,-6.31696e-18
0.22,-7.49324e-18
0.221,-8.77882e-18
0.222,-1.01789e-17
0.223,-1.16986e-17
0.224,-1.33427e-17
0.225,-1.51155e-17
0.226,-1.70211e-17
0.227,-1.90629e-17
0.228,-2.12437e-17
0.229,-2.35655e-17
0.23,-2.60297e-17
0.231,-2.86362e-17
0.232,-3.13841e-17
0.233,-3.42711e-17
0.234,-3.72933e-17
0.235,-4.04452e-17
0.236,-4.37193e-17
0.237,-4.71063e-17
0.238,-5.05941e-17
0.239,-5.41684e-17
0.24,-5.7812e-17
0.241,-6.15046e-17
0.242,-6.52225e-17
0.243,-6.89383e-17
0.244,-7.26206e-17
0.245,-7.6234e-17
0.246,-7.9738e-17
0.247,-8.30874e-17
0.248,-8.62316e-17
0.249,-8.91141e-17
0.25,-9.16726e-17
0.251,-9.38379e-17
0.252,-9.55342e-17
0.253,-9.66782e-17
0.254,-9.71789e-17
0.255,-9.69372e-17
0.256,-9.58454e-17
0.257,-9.37867e-17
0.258,-9.0635e-17
0.259,-8.62545e-17
0.26,-8.0499e-17
0.261,-7.32119e-17
0.262,-6.42256e-17
0.263,-5.33613e-17
0.264,-4.04288e-17
0.265,-2.52258e-17
0.266,-7.53816e-18
0.267,1.28605e-17
0.268,3.62088e-17
0.269,6.27579e-17
0.27,9.27712e-17
0.271,1.26525e-16
0.272,1.64306e-16
0.273,2.06415e-16
0.274,2.53163e-16
0.275,3.04873e-16
0.276,3.61876e-16
0.277,4.24516e-16
0.278,4.93145e-16
0.279,5.68119e-16
0.28,6.49807e-16
0.281,7.38577e-16
0.282,8.34805e-16
0.283,9.38866e-16
0.284,1.05114e-15
0.285,1.17199e-15
0.286,1.30179e-15
0.287,1.4409e-15
0.288,1.58967e-15
0.289,1.74843e-15
0.29,1.9175e-15
0.291,2.09718e-15
0.292,2.28772e-15
0.293,2.48937e-15
0.294,2.70232e-15
0.295,2.92673e-15
0.296,3.1627e-15
0.297,3.4103e-15
0.298,3.66951e-15
0.299,3.94025e-15
0.3,4.22238e-15
0.301,4.51564e-15
0.302,4.8197e-15
0.303,5.13414e-15
0.304,5.45839e-15
0.305,5.79178e-15
0.306,6.1335e-15
0.307,6.48261e-15
0.308,6.83797e-15
0.309,7.19832e-15
0.31,7.56219e-15
0.311,7.92791e-15
0.312,8.29361e-15
0.313,8.65719e-15
0.314,9.01631e-15
0.315,9.36839e-15
0.316,9.71054e-15
0.317,1.00396e-14
0.318,1.03522e-14
0.319,1.06445e-14
0.32,1.09124e-14
0.321,1.11514e-14
0.322,1.13568e-14
0.323,1.15232e-14
0.324,1.16452e-14
0.325,1.17166e-14
0.326,1.1731e-14
0.327,1.16815e-14
0.328,1.15606e-14
0.329,1.13607e-14
0.33,1.10732e-14
0.331,1.06895e-14
0.332,1.02e-14
0.333,9.59501e-15
0.334,8.86406e-15
0.335,7.99626e-15
0.336,6.98013e-15
0.337,5.80369e-15
0.338,4.45443e-15
0.339,2.9193e-15
0.34,1.18476e-15
0.341,-7.63237e-16
0.342,-2.93923e-15
0.343,-5.35819e-15
0.344,-8.03556e-15
0.345,-1.09871e-14
0.346,-1.42291e-14
0.347,-1.77779e-14
0.348,-2.16504e-14
0.349,-2.58634e-14
0.35,-3.04342e-14
0.351,-3.53797e-14
